StoreNo,TimeStamp,TotalValueEclGST,NumberOfChicken,NumberApple,NumberOfBanana,NumberOfBeer,HourOfDay,MinuteOfHour
95311,2018/8/24 7:47:09,142,5,11,6,4,0,32
39636,2018/8/15 8:19:40,126,5,12,6,0,16,3
65994,2018/9/20 8:10:18,148,6,10,4,8,5,32
61221,2018/2/6 12:21:55,142,8,10,3,6,23,11
62788,2018/2/3 5:52:33,174,4,12,9,6,8,3
17264,2018/8/17 15:37:58,86,7,9,1,0,17,49
77351,2018/2/21 3:36:00,134,5,15,3,4,23,40
49088,2018/3/8 20:59:59,97,6,10,2,1,17,40
10723,2018/10/5 23:39:45,153,8,16,2,5,14,52
98806,2018/1/23 11:50:30,122,9,10,1,4,5,56
56650,2018/10/17 16:52:46,149,6,14,4,5,1,38
52716,2018/8/12 6:48:41,124,5,7,7,2,5,55
94101,2017/12/22 23:37:47,181,9,16,6,3,8,21
35005,2018/8/24 19:44:10,104,9,8,1,2,0,15
18291,2018/6/15 18:02:34,128,3,15,5,2,6,28
01611,2017/12/18 16:20:37,150,10,16,2,2,7,46
53967,2018/11/15 7:19:22,91,3,5,6,1,20,3
09220,2018/6/26 17:58:55,151,7,11,5,5,1,47
40973,2018/10/4 18:20:42,147,9,10,6,1,5,13
07591,2018/5/2 10:38:43,147,8,11,5,3,17,44
04520,2018/10/5 11:32:14,226,12,21,5,6,9,48
38447,2018/10/20 13:12:29,160,10,15,5,0,18,21
34686,2018/3/7 0:30:08,151,12,10,3,3,15,56
75602,2018/8/21 12:57:15,192,7,10,10,6,12,48
26756,2018/3/15 19:47:03,149,7,15,4,3,17,33
15786,2018/1/2 23:15:38,132,7,16,2,2,21,10
56486,2018/10/6 11:46:24,151,6,13,6,3,22,30
79197,2018/6/10 10:58:26,181,11,9,8,3,2,9
54546,2018/4/9 13:10:49,108,2,5,7,4,21,23
51040,2018/2/12 18:09:17,158,12,10,2,6,15,32
48834,2018/6/4 11:22:06,140,8,8,5,4,23,40
11658,2017/12/27 17:38:18,95,7,6,3,1,2,38
41643,2018/7/11 3:44:34,129,3,12,6,3,23,51
18155,2018/9/29 21:50:15,178,4,17,7,6,1,23
21569,2018/6/14 19:43:15,148,4,14,6,4,22,33
26750,2018/8/30 11:58:23,167,8,12,7,3,5,17
46306,2018/1/17 15:40:06,185,6,15,8,5,11,9
12301,2018/4/9 2:51:12,197,10,15,9,1,4,44
17326,2018/9/15 6:23:30,126,9,11,1,4,18,11
23474,2018/5/31 11:57:21,166,8,14,4,6,17,45
30196,2018/1/28 6:18:52,245,18,20,4,5,14,42
25997,2018/5/23 11:27:16,149,4,11,7,5,19,15
51788,2018/4/20 20:45:58,171,5,15,7,5,5,24
08712,2018/8/18 9:58:37,105,7,8,2,3,2,30
68183,2018/4/7 23:20:40,164,9,12,4,6,10,0
92644,2018/8/30 23:50:17,116,5,12,1,6,19,46
23982,2018/6/28 14:51:13,132,8,11,5,0,5,11
85207,2018/5/23 14:59:34,154,7,15,4,4,5,54
15903,2018/3/23 9:01:18,160,3,15,9,2,2,8
52195,2018/3/24 10:12:45,203,10,12,10,3,11,57
22907,2018/1/4 13:48:03,92,3,10,3,2,16,19
79076,2018/10/26 9:12:24,168,8,17,4,4,3,31
28121,2018/2/4 17:23:12,184,9,15,5,6,22,30
71837,2018/5/23 13:20:57,157,9,14,4,3,3,32
82742,2018/11/14 14:55:43,189,7,14,7,7,11,34
61150,2018/8/1 23:47:55,189,12,21,1,5,20,38
33816,2017/11/20 20:36:25,194,7,15,9,4,21,25
96992,2018/9/8 14:01:58,150,12,7,5,2,20,44
47713,2018/8/18 0:29:58,105,5,11,2,3,8,23
48168,2018/10/20 7:20:59,157,7,13,6,3,21,26
71175,2017/12/22 3:41:43,158,8,13,6,2,2,6
71374,2018/11/15 5:17:31,180,6,13,9,4,2,46
53882,2018/11/6 19:25:16,149,6,16,3,5,15,50
90853,2018/7/12 2:20:17,214,9,22,4,8,22,2
02198,2018/1/1 12:45:22,131,6,12,4,3,0,32
72634,2018/6/12 3:41:04,141,6,10,5,5,12,5
20123,2018/7/5 13:02:19,184,8,19,5,4,7,18
75127,2017/12/16 17:51:32,174,8,15,7,2,6,0
05016,2018/5/25 14:28:36,136,3,14,4,6,11,18
75159,2018/8/31 12:30:41,180,10,15,5,4,17,35
12700,2018/7/22 7:30:32,201,12,12,7,5,9,27
00150,2018/5/11 21:27:14,98,7,7,1,4,16,17
28969,2018/6/5 7:31:58,150,9,13,3,4,0,14
35923,2018/9/15 23:12:31,140,8,8,5,4,13,21
02075,2018/6/22 17:50:55,127,3,14,6,1,16,42
80052,2018/8/21 12:16:36,172,11,10,7,2,9,15
62210,2018/6/19 16:54:09,179,8,10,7,7,21,59
64335,2018/8/6 11:07:02,177,16,13,3,1,13,36
43013,2018/7/29 0:08:52,128,5,10,6,2,7,45
07028,2018/5/21 5:53:59,93,4,12,2,1,18,26
00775,2018/3/3 2:43:26,131,6,12,4,3,18,5
05093,2018/5/21 9:57:34,130,8,6,6,2,13,34
12633,2018/10/23 8:55:33,166,4,12,8,6,2,28
01768,2018/2/28 4:05:35,146,5,18,3,4,4,25
14773,2018/10/17 15:00:13,185,7,15,6,7,5,42
71007,2018/2/27 1:17:01,163,12,13,3,3,20,53
42225,2018/11/5 5:05:23,173,8,11,7,5,22,1
78896,2018/8/20 3:36:12,154,9,8,6,4,1,6
23224,2018/11/15 15:17:19,151,11,9,3,5,5,24
31006,2018/10/26 16:36:34,151,3,6,8,9,13,11
33808,2018/5/15 13:05:13,133,7,13,3,3,11,17
08858,2018/8/20 1:09:27,209,15,11,5,7,12,16
89427,2018/1/11 3:29:53,139,8,15,2,3,0,10
05607,2018/10/1 11:44:05,229,17,16,6,3,8,47
90112,2018/10/13 15:30:57,154,11,11,3,4,8,17
52174,2018/10/22 6:56:18,153,7,15,2,7,12,42
01466,2018/1/30 0:04:11,178,9,16,5,4,5,50
76981,2018/4/14 13:43:34,129,9,13,1,3,9,25
01167,2018/8/30 22:28:25,132,7,12,4,2,15,45
57395,2017/12/30 15:10:40,147,10,6,6,3,8,38
67264,2018/2/17 2:58:47,142,5,11,6,4,18,8
87859,2018/1/1 23:16:58,142,7,12,4,4,6,11
41710,2017/12/8 9:56:51,102,1,15,2,4,6,6
24683,2018/1/28 18:16:23,181,13,14,4,3,2,32
77223,2018/1/6 11:01:22,162,10,9,7,2,5,30
68564,2018/5/27 7:53:51,178,11,13,5,4,11,29
61315,2018/6/22 15:52:35,155,12,9,4,3,13,50
59213,2018/5/9 17:33:20,162,6,19,5,2,13,33
71598,2018/2/22 2:42:13,211,6,18,11,3,9,25
37848,2018/2/14 23:49:57,127,6,13,3,3,22,12
01854,2018/5/21 17:59:24,167,11,8,8,1,23,23
29493,2017/12/21 2:25:59,160,8,5,9,4,11,21
09485,2018/7/12 19:10:14,77,4,10,1,1,22,27
86273,2018/9/6 9:17:23,174,7,16,6,4,18,12
29299,2018/7/28 18:30:21,172,5,10,9,6,15,8
40304,2018/1/15 2:06:13,122,4,13,2,6,18,17
70431,2018/1/18 2:50:44,205,7,17,10,3,13,14
66269,2018/1/26 16:28:07,131,8,17,0,3,19,25
01269,2018/3/1 9:12:57,154,7,15,4,4,17,51
07537,2018/9/28 2:00:52,151,6,13,6,3,23,11
20681,2018/3/29 10:08:44,149,10,8,4,5,22,19
11642,2017/12/10 13:21:53,135,5,14,3,5,4,40
20128,2018/3/4 9:01:28,133,3,11,7,3,5,27
81052,2018/8/27 2:13:32,169,12,14,2,5,21,21
66878,2018/3/4 8:24:00,124,4,8,6,4,13,47
23013,2018/8/6 4:20:22,146,8,9,4,6,12,15
51184,2018/10/7 0:17:31,156,8,12,5,4,15,20
91638,2018/7/30 14:09:59,178,12,10,7,2,11,7
47086,2018/6/1 9:35:09,172,9,15,6,2,23,6
46439,2018/5/22 13:19:52,120,5,11,2,6,15,43
90682,2018/6/14 3:44:32,142,10,12,3,2,6,38
35128,2018/10/5 23:27:12,197,12,13,6,5,17,0
37912,2018/5/10 3:35:25,113,3,12,4,3,14,3
18554,2018/3/13 18:46:30,127,4,12,5,3,11,55
67632,2018/5/29 4:58:52,183,6,17,8,3,0,8
85869,2018/3/2 20:10:49,179,10,10,8,3,13,1
09397,2018/1/28 3:08:26,123,6,12,3,3,3,14
77870,2018/11/12 0:49:53,138,10,9,4,2,21,46
80986,2017/12/12 15:01:41,155,9,9,5,5,7,48
87730,2018/2/3 11:04:52,121,7,12,2,3,19,56
62901,2018/8/4 4:47:12,140,8,8,5,4,5,44
42509,2017/11/22 7:45:48,141,5,16,4,3,14,7
08059,2018/6/14 5:05:30,164,8,14,5,4,10,47
50889,2018/7/13 4:50:11,166,6,11,7,6,6,38
26034,2018/9/5 3:09:22,166,9,13,5,4,22,20
47092,2018/5/25 17:30:51,184,14,16,2,4,4,20
84832,2017/12/31 19:42:31,166,8,10,6,6,0,43
66546,2018/1/11 2:58:44,176,7,15,8,2,23,48
08624,2018/4/1 22:28:19,169,12,10,4,5,8,51
80534,2018/5/23 18:27:09,144,6,12,5,4,17,17
01651,2018/7/12 2:38:18,127,6,9,5,3,5,43
09242,2018/4/30 20:10:03,169,5,17,7,3,7,30
65722,2017/12/5 20:30:27,185,7,10,6,11,10,40
47343,2018/6/14 19:53:04,164,7,16,6,2,17,19
87378,2018/6/30 4:51:03,114,5,8,4,4,6,26
87447,2018/10/13 22:37:54,210,10,18,6,6,5,19
60466,2018/9/20 6:51:27,127,4,11,3,7,22,21
39891,2018/5/11 22:51:18,182,8,14,6,6,0,33
62310,2018/9/1 0:19:15,166,10,10,7,2,20,11
46117,2018/5/16 18:59:00,179,11,12,5,5,23,23
51645,2018/9/3 18:41:50,148,9,13,4,2,3,13
29691,2018/7/14 1:41:00,166,8,12,5,6,20,23
01573,2018/5/3 4:50:59,114,7,7,3,4,9,45
28268,2018/2/9 7:08:36,131,5,9,5,5,21,37
91911,2018/9/24 22:43:25,169,12,10,4,5,15,45
98214,2018/3/26 21:10:28,170,8,13,5,6,8,9
89914,2018/4/6 7:47:51,163,11,13,5,1,3,20
53717,2017/12/31 18:52:40,123,3,14,3,5,2,58
85473,2018/3/6 17:18:05,143,5,16,3,5,22,52
00656,2018/2/19 23:15:32,128,6,12,3,4,2,48
55060,2017/11/27 5:49:36,176,12,14,6,0,23,9
23836,2018/3/2 14:00:49,138,10,5,6,2,0,14
22587,2018/1/20 21:09:37,171,13,5,6,5,9,18
22984,2018/9/19 19:32:34,124,4,11,2,8,5,31
00469,2018/9/28 17:50:41,130,4,13,3,6,13,18
51869,2017/12/22 17:43:06,95,3,10,4,1,18,49
44210,2018/7/16 14:06:43,166,10,10,7,2,21,41
02490,2018/1/31 21:32:54,111,6,11,2,3,21,46
82161,2017/11/25 17:05:17,101,7,9,1,3,0,36
19373,2017/12/27 16:15:32,136,11,9,3,2,4,24
90578,2018/10/6 21:18:42,231,13,10,11,5,14,24
80092,2018/4/11 7:43:18,118,7,13,3,0,3,39
40110,2018/6/16 14:13:40,162,8,9,6,6,16,42
80193,2018/2/5 5:49:52,116,6,9,3,4,15,13
17725,2018/7/11 17:34:44,176,11,6,7,6,5,32
30249,2018/7/29 3:23:10,180,11,11,5,6,21,41
64112,2018/8/31 1:55:44,158,9,11,5,4,11,0
63720,2018/1/22 21:42:27,136,8,9,4,4,13,58
15955,2017/12/25 18:56:27,111,5,4,5,5,9,14
35984,2018/8/3 4:09:02,139,7,11,6,1,16,6
21856,2018/7/27 20:01:28,127,6,9,5,3,2,56
20651,2018/9/23 8:28:02,125,6,13,4,1,8,0
77431,2017/12/7 19:32:12,145,6,13,4,5,19,48
63722,2018/11/17 15:52:02,138,5,12,5,4,1,35
91820,2018/8/2 21:12:57,166,6,13,6,6,2,28
13061,2018/1/12 20:21:55,176,4,10,9,8,10,58
73098,2018/7/2 19:39:40,238,11,17,8,8,21,16
42180,2018/5/28 20:51:26,192,7,18,6,6,7,25
12866,2018/9/2 13:10:32,104,6,10,1,4,5,8
94965,2018/8/3 16:52:57,108,6,9,2,4,9,6
49914,2018/1/24 13:30:11,159,5,15,8,1,20,26
73705,2018/10/13 10:18:35,177,8,12,7,5,0,11
81910,2018/8/12 20:16:42,179,9,10,5,9,5,59
21323,2018/2/7 10:34:44,163,12,11,4,3,19,10
11019,2018/7/23 21:51:15,120,6,12,2,4,2,35
07097,2018/6/10 16:29:22,145,6,13,4,5,14,44
38381,2018/6/28 19:01:14,138,6,10,4,6,7,49
91105,2018/5/7 19:58:39,171,11,10,5,5,9,3
97827,2018/8/10 17:21:06,187,12,9,8,3,4,48
98434,2018/3/7 7:03:11,216,7,23,9,2,3,7
68806,2018/9/12 3:53:37,185,13,15,4,3,3,34
34140,2018/7/27 15:53:09,136,8,9,4,4,3,16
07011,2018/1/12 1:04:07,184,10,10,8,4,8,6
79173,2018/1/1 20:12:35,129,5,9,6,3,18,13
11253,2018/6/24 6:03:07,128,2,12,6,4,0,26
19793,2018/6/13 7:18:34,163,8,10,5,7,19,11
17198,2018/11/9 18:59:33,150,4,16,4,6,10,17
00838,2017/12/6 6:09:27,154,3,13,8,4,21,48
97508,2017/12/25 12:17:32,143,9,13,4,1,21,38
04709,2018/8/29 23:35:21,106,6,9,3,2,13,6
05845,2018/5/3 5:06:23,167,6,17,6,3,12,19
27236,2018/9/9 3:16:22,132,7,16,2,2,4,44
95503,2017/11/27 12:13:07,185,12,12,5,5,22,10
71367,2017/12/28 23:22:50,134,11,10,1,4,16,30
97190,2017/12/29 2:26:41,150,9,13,3,4,3,1
86123,2018/9/16 2:28:45,178,7,13,8,4,5,18
55846,2017/12/22 11:30:16,230,11,17,7,8,3,52
13869,2018/4/28 14:13:50,127,12,6,2,3,7,50
89713,2018/3/13 10:58:16,138,8,14,3,2,5,21
46537,2017/12/1 19:10:02,139,6,16,3,3,15,10
69833,2018/10/18 12:37:54,160,8,7,8,4,2,4
72287,2018/8/15 6:54:58,133,7,11,4,3,19,14
36812,2017/12/20 3:21:56,173,11,15,4,3,17,55
52866,2018/1/25 13:46:51,190,12,9,9,2,5,21
19667,2018/10/6 21:23:16,119,5,10,3,5,3,59
32023,2018/4/4 3:04:28,156,7,12,7,2,20,3
07939,2018/5/21 15:37:38,176,10,12,6,4,14,5
35656,2018/7/23 7:38:26,161,6,9,8,5,19,25
96000,2018/2/14 16:25:40,169,8,14,5,5,1,11
16344,2018/2/23 18:13:46,240,14,12,11,4,5,27
90524,2018/6/30 2:43:45,156,5,8,8,6,14,32
38997,2018/3/15 3:54:07,187,11,14,5,5,22,2
84614,2018/7/27 16:15:03,133,5,12,5,3,12,29
64788,2018/1/9 14:00:22,134,3,12,6,4,1,38
03605,2018/10/7 18:19:49,219,14,22,4,3,10,0
73404,2018/5/4 8:53:14,179,11,13,7,1,17,54
31489,2018/5/29 17:10:37,185,10,15,5,5,14,57
01364,2017/11/28 20:03:56,141,5,11,4,7,14,39
69000,2018/3/8 6:23:29,143,8,10,5,3,6,13
28954,2018/9/22 22:49:04,177,15,6,6,3,16,14
56584,2018/1/23 15:44:43,141,5,16,4,3,9,39
32422,2017/12/21 14:03:38,201,14,9,7,5,2,40
39925,2018/3/2 21:45:47,183,9,15,8,1,7,43
20681,2018/9/22 7:13:48,153,8,14,3,5,8,0
70396,2018/2/6 12:54:28,129,4,12,4,5,23,4
95844,2018/8/23 7:44:54,118,6,14,2,2,13,40
87504,2018/6/30 1:08:37,138,9,10,3,4,12,37
82646,2018/7/9 0:17:01,119,6,9,4,3,22,34
20107,2018/7/21 2:04:57,171,9,13,5,5,20,33
08650,2018/9/7 17:22:21,188,10,14,4,8,2,13
92063,2018/3/17 10:14:14,207,6,17,11,3,1,4
87224,2018/7/14 18:33:10,128,5,9,4,6,22,46
24814,2018/8/5 15:46:54,170,4,15,7,6,1,0
58789,2018/11/17 10:38:03,165,5,17,4,7,10,12
72469,2018/1/30 1:41:12,104,9,8,1,2,9,57
48370,2018/6/7 16:06:37,147,7,16,2,5,6,5
75899,2018/7/13 18:38:53,158,7,12,6,4,8,31
78160,2018/4/9 2:07:57,140,4,12,6,4,16,4
77099,2017/12/22 0:29:58,131,4,9,7,3,21,51
47610,2017/12/13 2:23:57,155,8,10,4,7,23,22
74546,2018/2/12 3:36:35,88,5,5,1,6,6,8
94239,2018/2/21 11:53:17,193,10,14,4,9,6,46
64770,2018/3/19 1:44:10,132,5,11,6,2,13,36
13548,2018/4/4 0:48:22,167,9,14,4,5,10,43
95469,2018/5/17 14:44:07,149,10,8,4,5,15,55
41686,2018/4/23 15:28:14,134,9,9,3,4,9,34
97820,2018/3/5 21:52:11,183,9,14,6,5,9,31
58855,2018/2/26 14:05:53,125,5,12,4,3,6,31
03754,2018/9/5 12:10:18,170,7,15,6,4,0,3
14260,2018/5/30 4:06:54,254,12,18,10,6,7,30
57791,2018/8/26 16:16:05,161,12,10,3,5,18,42
05803,2018/7/14 18:16:54,154,8,12,6,2,9,28
15652,2018/1/14 6:22:16,149,8,14,5,1,5,57
07103,2018/7/23 4:12:22,191,10,15,7,3,20,31
70268,2018/4/30 17:08:23,158,14,10,3,2,13,47
75791,2018/7/12 15:19:04,163,7,14,5,5,1,9
01246,2018/10/6 9:59:21,139,10,10,3,3,21,38
35535,2018/4/2 6:07:55,220,12,10,11,4,12,29
11248,2018/3/30 20:36:57,199,11,18,7,1,10,56
70635,2018/4/23 23:12:37,130,10,11,2,2,8,31
90024,2018/7/14 10:55:51,192,12,13,6,4,4,33
32849,2018/9/17 0:50:24,161,7,14,6,3,16,39
48899,2018/4/24 18:56:37,153,11,10,4,3,17,30
52405,2018/5/19 4:40:42,144,4,8,6,8,22,43
61559,2018/9/16 14:52:37,134,7,6,6,4,8,13
76205,2018/3/29 22:02:53,102,5,10,4,0,8,59
74444,2018/4/5 14:25:13,161,7,12,7,3,7,44
92507,2018/7/9 22:57:37,142,6,11,4,6,21,37
04665,2018/4/19 20:46:30,118,8,13,1,2,5,39
51380,2018/7/23 7:26:40,159,9,10,5,5,19,1
21829,2018/4/7 2:55:23,175,11,18,4,1,11,38
00383,2018/9/23 19:54:06,136,7,13,4,2,21,6
72246,2018/7/13 10:37:41,219,16,15,6,3,10,1
11239,2018/5/7 2:27:35,153,7,13,3,7,8,48
17078,2018/11/18 16:29:32,136,7,13,4,2,21,36
94394,2018/4/11 22:30:40,131,3,11,8,1,0,15
10736,2018/7/31 7:19:29,188,15,18,2,2,3,31
29466,2018/1/28 6:17:08,172,7,13,6,6,3,59
31826,2018/8/2 22:14:57,180,14,11,4,4,21,57
